name;latitud;longitude;population;full_name
Riyadh;24,65;46,71;6889000,0;Riyadh, SA
Jeddah;21,5428;39,1728;3976000,0;Jeddah, SA
Mecca;21,4225;39,8261;1675368,0;Mecca, SA
Medina;24,4667;39,6;1180770,0;Medina, SA
Ad Dammam;26,4333;50,1;903312,0;Ad Dammam, SA
Al Hufuf;25,3608;49,5997;660788,0;Al Hufuf, SA
Al Hillah;23,4895;46,7564;594605,0;Al Hillah, SA
At Ta'if;21,2667;40,4167;579970,0;At Ta'if, SA
Tabuk;28,3838;36,555;547957,0;Tabuk, SA
Buraydah;26,3333;43,9667;467410,0;Buraydah, SA
Ha'il;27,5236;41,7001;385257,0;Ha'il, SA
Al Qatif;26,5196;50,0115;368892,0;Al Qatif, SA
Al Mubarraz;25,4416;49,6642;298562,0;Al Mubarraz, SA
Al Kharj;24,1556;47,312;298428,0;Al Kharj, SA
Yanbu`;24,0943;38,0493;267590,0;Yanbu`, SA
Hafr al Batin;28,4337;45,9601;249194,0;Hafr al Batin, SA
Al Jubayl;27,0046;49,646;237274,0;Al Jubayl, SA
Abha;18,2167;42,5;236157,0;Abha, SA
Al Khubar;26,3;50,2167;219679,0;Al Khubar, SA
Sakaka;30,0;40,1333;128332,0;Sakaka, SA
Jazan;16,8892;42,5611;127743,0;Jazan, SA
Najran;17,4917;44,1322;72038,0;Najran, SA
Arar;30,9833;41,0167;27449,0;Arar, SA
Al Bahah;20,0129;41,4677;21983,0;Al Bahah, SA
Khamis Mushayt;18,3;42,7333;99213,0;Khamis Mushayt, SA
Qal`at Bishah;20,0087;42,5987;88291,0;Qal`at Bishah, SA
Rafha;29,6202;43,4948;64755,0;Rafha, SA
Al Wajh;26,2324;36,4636;43237,0;Al Wajh, SA
Dhahran;26,2667;50,15;32067,0;Dhahran, SA
As Sulayyil;20,4623;45,5722;24097,0;As Sulayyil, SA
Dawmat al Jandal;29,8153;39,8664;22583,0;Dawmat al Jandal, SA
Ad Dir`iyah;24,7333;46,5756;19143,0;Ad Dir`iyah, SA
Al Hawiyah;21,4411;40,4975;18468,0;Al Hawiyah, SA
Al Majma`ah;25,9039;45,3456;12065,0;Al Majma`ah, SA
Duruma;24,6173;46,2256;11461,0;Duruma, SA
Layla;22,2833;46,7333;7920,0;Layla, SA
Turabah;21,2142;41,6331;5324,0;Turabah, SA
Al Qurayyat;31,3333;37,3333;10000,0;Al Qurayyat, SA
Al Quway`iyah;24,0737;45,2806;8712,0;Al Quway`iyah, SA
Al Qunfudhah;19,1264;41,0789;157,0;Al Qunfudhah, SA
